"Kameshwar","Munagala","140"
"Jason","Hallstrom","141"
"Ashutosh","Tiwari","142"
"Lawrence","Lemke","143"
"Shangping","Ren","144"
"Amy","McGovern","145"
"Vitaly","Shmatikov","146"
"Tamar","Goulet","147"
"Jason","Lawrence","148"
"Jun","Yang","149"
"Rebecca","Dupaix","150"
"Alena","Kubatova","151"
"Kristen","Grauman","152"
"Tanya","Berger-Wolf","153"
"Andruid","Kerne","154"
"Michael","Neely","155"
"Dan","Geba","156"
"Firas","Rassoul-Agha","157"
"Ugur","Pasaogullari","158"
"David","Glickenstein","159"
"Scott","Baldridge","160"
"Mikhail","Golosov","161"
"Lanny","Martin","162"
"Fei","Xia","163"
"Michael","Goodin","164"
"Terry","Whitledge","165"
"Denis","Wiesenburg","165"
"Michele","Daughtry","166"
"Lisa","Vaillancourt","167"
"Pradeep","Kachroo","167"
"Aardra","kachroo","167"
"Robert","Morse","168"
"John","Carlstrom","168"
"Albrecht","Karle","168"
"Gennady","Cymbalyuk","169"
"Steven","Ullmann","170"
"Teresa","Scandura","170"
"Frank","Penedo","170"
"Malworsth","Blake","170"
"Koren","Bedeau","170"
"Orlando","Taylor","171"
"Charles","Betsey","171"
"Florence","Bonner","171"
"Angela","Cole","171"
"Angela","Cole","171"
"Steven","Howell","172"
"Mark","Leising","172"
"Daniel","Smith","172"
"Donald","Walter","172"
"Jennifer","Cash","172"
"Roger","Pielke","173"
"Myanna","Lahsen","173"
"Roger","Pielke","173"
"Robert","Pekkanen","174"
"Xiang","Zhang","175"
"Matthew","Shugart","176"
"Ellis","Krauss","176"
"Adam","Szeidl","177"
"Adam","Szeidl","177"
"Markus","Mobius","177"
"Attila","Ambrus","177"
"James","Swift","178"
"Lynne","Talley","178"
"Dennis","Hansell","179"
"Frank","Millero","179"
"Peter","Schlosser","180"
"William","Smethie Jr.","180"
"James","Pustejovsky","181"
"Nancy","Ide","181"
"Mark","Schildhauer","182"
"Phillip","Dibner","182"
"Deborah","McGuinness","182"
"Shawn","Bowers","182"
"Corinna","Gries","182"
"Adina","Paytan","183"
"Albert","Valocchi","184"
"Witold","Krajewski","184"
"Richard","Hooper","184"
"Efi","Foufoula-Georgiou","184"
"Scott","Tyler","184"
"James","Famiglietti","184"
"Lawrence","Band","184"
"Robyn","Hannigan","184"
"Lawrence","Murdoch","184"
"Jennifer","Arrigo","184"
